movie_id,title,genre,release_year,duration
M0001,Shadow Action 01,Action,2018,140
M0002,Happy Comedy 02,Comedy,2017,134
M0003,Silent Drama 03,Drama,2016,125
M0004,Dark Horror 04,Horror,2024,114
M0005,Love Romance 05,Romance,2014,112
M0006,Star Sci-Fi 06,Sci-Fi,2009,95
M0007,Magic Animation 07,Animation,2007,120
M0008,Hidden Thriller 08,Thriller,2002,175
M0009,Shadow Action 09,Action,2006,104
M0010,Happy Comedy 10,Comedy,2008,174
M0011,Silent Drama 11,Drama,2025,115
M0012,Dark Horror 12,Horror,2013,92
M0013,Love Romance 13,Romance,2007,117
M0014,Star Sci-Fi 14,Sci-Fi,2009,126
M0015,Magic Animation 15,Animation,2006,118
M0016,Hidden Thriller 16,Thriller,1995,170
M0017,Shadow Action 17,Action,2003,115
M0018,Happy Comedy 18,Comedy,1997,86
M0019,Silent Drama 19,Drama,2013,169
M0020,Dark Horror 20,Horror,2003,161
M0021,Love Romance 21,Romance,2026,93
M0022,Star Sci-Fi 22,Sci-Fi,1995,153
M0023,Magic Animation 23,Animation,2013,140
M0024,Hidden Thriller 24,Thriller,2025,136
M0025,Shadow Action 25,Action,2016,103
M0026,Happy Comedy 26,Comedy,1998,112
M0027,Silent Drama 27,Drama,2025,94
M0028,Dark Horror 28,Horror,1999,131
M0029,Love Romance 29,Romance,2026,89
M0030,Star Sci-Fi 30,Sci-Fi,1998,99
M0031,Magic Animation 31,Animation,2004,152
M0032,Hidden Thriller 32,Thriller,2014,90
M0033,Shadow Action 33,Action,2010,95
M0034,Happy Comedy 34,Comedy,2021,157
M0035,Silent Drama 35,Drama,2009,179
M0036,Dark Horror 36,Horror,2019,137
M0037,Love Romance 37,Romance,2023,118
M0038,Star Sci-Fi 38,Sci-Fi,2022,119
M0039,Magic Animation 39,Animation,1998,158
M0040,Hidden Thriller 40,Thriller,2001,177
M0041,Shadow Action 41,Action,2008,160
M0042,Happy Comedy 42,Comedy,2008,113
M0043,Silent Drama 43,Drama,2000,100
M0044,Dark Horror 44,Horror,2010,102
M0045,Love Romance 45,Romance,1999,100
M0046,Star Sci-Fi 46,Sci-Fi,1995,132
M0047,Magic Animation 47,Animation,2023,168
M0048,Hidden Thriller 48,Thriller,2025,117
M0049,Shadow Action 49,Action,1997,109
M0050,Happy Comedy 50,Comedy,2013,170
M0051,Silent Drama 51,Drama,2013,169
M0052,Dark Horror 52,Horror,2024,89
M0053,Love Romance 53,Romance,2009,113
M0054,Star Sci-Fi 54,Sci-Fi,2007,134
M0055,Magic Animation 55,Animation,2002,149
M0056,Hidden Thriller 56,Thriller,2009,162
M0057,Shadow Action 57,Action,2004,114
M0058,Happy Comedy 58,Comedy,2004,89
M0059,Silent Drama 59,Drama,1998,101
M0060,Dark Horror 60,Horror,2014,156
M0061,Love Romance 61,Romance,2013,136
M0062,Star Sci-Fi 62,Sci-Fi,2002,139
M0063,Magic Animation 63,Animation,2014,169
M0064,Hidden Thriller 64,Thriller,2020,114
M0065,Shadow Action 65,Action,2026,136
M0066,Happy Comedy 66,Comedy,2000,156
M0067,Silent Drama 67,Drama,1997,135
M0068,Dark Horror 68,Horror,2015,157
M0069,Love Romance 69,Romance,2011,83
M0070,Star Sci-Fi 70,Sci-Fi,2000,109
M0071,Magic Animation 71,Animation,1996,177
M0072,Hidden Thriller 72,Thriller,2012,153
M0073,Shadow Action 73,Action,1997,177
M0074,Happy Comedy 74,Comedy,2006,140
M0075,Silent Drama 75,Drama,2023,115
M0076,Dark Horror 76,Horror,2006,154
M0077,Love Romance 77,Romance,2022,161
M0078,Star Sci-Fi 78,Sci-Fi,2026,91
M0079,Magic Animation 79,Animation,2025,124
M0080,Hidden Thriller 80,Thriller,2021,122
M0081,Shadow Action 81,Action,2015,165
M0082,Happy Comedy 82,Comedy,2001,100
M0083,Silent Drama 83,Drama,2016,132
M0084,Dark Horror 84,Horror,2026,116
M0085,Love Romance 85,Romance,2020,177
M0086,Star Sci-Fi 86,Sci-Fi,1997,138
M0087,Magic Animation 87,Animation,2000,120
M0088,Hidden Thriller 88,Thriller,2011,121
M0089,Shadow Action 89,Action,2002,178
M0090,Happy Comedy 90,Comedy,2020,145
M0091,Silent Drama 91,Drama,1995,164
M0092,Dark Horror 92,Horror,2024,132
M0093,Love Romance 93,Romance,1998,104
M0094,Star Sci-Fi 94,Sci-Fi,2018,159
M0095,Magic Animation 95,Animation,2026,160
M0096,Hidden Thriller 96,Thriller,2023,177
M0097,Shadow Action 97,Action,1998,106
M0098,Happy Comedy 98,Comedy,2012,150
M0099,Silent Drama 99,Drama,2003,116
M0100,Dark Horror 100,Horror,2023,169
