user_id,age,gender,region,registration_date
U0001,58,Male,Vietnam,2025-10-09
U0002,33,Male,Singapore,2025-04-15
U0003,52,Male,Korea,2026-03-09
U0004,20,Male,Vietnam,2025-08-12
U0005,32,Other,Korea,2025-01-28
U0006,53,Male,Korea,2026-03-06
U0007,32,Female,Korea,2025-10-12
U0008,18,Male,Japan,2025-12-15
U0009,35,Male,Singapore,2025-12-11
U0010,24,Male,Japan,2025-04-10
U0011,40,Female,Korea,2025-09-28
U0012,20,Other,Japan,2026-07-04
U0013,25,Female,Vietnam,2026-07-20
U0014,36,Other,Korea,2026-01-06
U0015,54,Male,Vietnam,2025-02-16
U0016,60,Male,Thailand,2025-03-23
U0017,32,Male,Japan,2025-10-12
U0018,47,Other,Thailand,2025-06-16
U0019,41,Female,Singapore,2025-10-01
U0020,59,Male,Korea,2025-06-25
U0021,52,Other,Singapore,2025-06-17
U0022,47,Female,Thailand,2026-07-25
U0023,32,Other,Thailand,2025-02-27
U0024,32,Male,Thailand,2026-02-15
U0025,35,Male,Singapore,2026-08-04
U0026,38,Male,Japan,2026-02-10
U0027,59,Female,Singapore,2025-09-29
U0028,26,Male,Korea,2026-07-06
U0029,34,Other,Korea,2026-03-15
U0030,55,Female,Thailand,2025-08-13
U0031,26,Other,Japan,2025-04-04
U0032,21,Male,Singapore,2025-06-13
U0033,45,Other,Vietnam,2026-01-30
U0034,42,Other,Japan,2026-06-26
U0035,34,Other,Vietnam,2025-04-28
U0036,52,Female,Thailand,2025-04-25
U0037,36,Female,Singapore,2026-04-10
U0038,18,Other,Thailand,2026-05-28
U0039,29,Other,Vietnam,2025-11-02
U0040,58,Other,Korea,2025-07-23
U0041,27,Female,Singapore,2026-07-07
U0042,51,Male,Korea,2025-11-28
U0043,49,Male,Vietnam,2026-01-07
U0044,37,Male,Vietnam,2025-09-04
U0045,54,Male,Vietnam,2026-05-13
U0046,22,Other,Singapore,2025-05-12
U0047,60,Female,Korea,2025-06-19
U0048,34,Other,Korea,2026-03-10
U0049,31,Other,Singapore,2025-11-16
U0050,43,Other,Thailand,2026-03-25
U0051,51,Female,Vietnam,2025-09-11
U0052,32,Male,Thailand,2025-01-22
U0053,55,Other,Singapore,2025-08-14
U0054,18,Male,Vietnam,2025-08-23
U0055,22,Male,Thailand,2025-03-14
U0056,50,Male,Thailand,2026-05-13
U0057,31,Other,Singapore,2026-08-08
U0058,54,Female,Singapore,2026-04-30
U0059,44,Male,Vietnam,2025-04-10
U0060,60,Female,Thailand,2026-03-10
U0061,44,Female,Vietnam,2025-04-11
U0062,21,Female,Thailand,2025-04-22
U0063,33,Male,Singapore,2026-07-04
U0064,46,Male,Japan,2025-07-07
U0065,35,Female,Singapore,2025-03-19
U0066,46,Other,Vietnam,2025-02-21
U0067,59,Other,Vietnam,2025-04-06
U0068,33,Male,Japan,2026-05-13
U0069,48,Male,Japan,2025-03-02
U0070,28,Female,Vietnam,2026-02-04
