watch_id,user_id,movie_id,watch_timestamp,watch_duration,device
W000001,U0030,M0014,2026-07-22 08:55:00,105,Tablet
W000002,U0095,M0007,2026-08-23 11:03:00,87,TV
W000003,U0107,M0091,2026-09-14 21:13:00,109,Web
W000004,U0009,M0001,2026-07-20 18:37:00,110,Tablet
W000005,U0114,M0061,2026-09-16 20:45:00,73,Web
W000006,U0140,M0012,2026-07-06 12:16:00,92,Tablet
W000007,U0071,M0038,2026-09-27 03:04:00,117,Tablet
W000008,U0024,M0049,2026-08-28 09:49:00,109,Mobile
W000009,U0013,M0006,2026-07-23 04:05:00,95,TV
W000010,U0018,M0047,2026-08-23 08:58:00,128,TV
W000011,U0060,M0009,2026-09-09 11:38:00,104,Mobile
W000012,U0071,M0015,2026-09-28 21:17:00,118,TV
W000013,U0139,M0069,2026-09-11 16:22:00,76,Mobile
W000014,U0034,M0061,2026-08-02 14:35:00,129,TV
W000015,U0151,M0001,2026-07-02 10:28:00,111,Tablet
W000016,U0135,M0087,2026-09-06 20:55:00,98,Mobile
W000017,U0122,M0010,2026-09-09 19:36:00,120,Tablet
W000018,U0129,M0049,2026-09-25 01:17:00,103,Mobile
W000019,U0187,M0095,2026-08-11 16:36:00,121,Tablet
W000020,U0103,M0006,2026-09-01 10:48:00,70,Mobile
W000021,U0126,M0008,2026-07-07 16:32:00,149,TV
W000022,U0017,M0005,2026-07-26 00:46:00,77,Web
W000023,U0098,M0086,2026-08-11 07:09:00,88,Mobile
W000024,U0168,M0046,2026-08-09 03:30:00,102,Tablet
W000025,U0059,M0011,2026-07-31 20:24:00,98,Mobile
W000026,U0081,M0006,2026-07-29 10:43:00,58,Web
W000027,U0096,M0019,2026-09-01 12:23:00,137,Mobile
W000028,U0024,M0002,2026-07-09 18:56:00,101,Web
W000029,U0034,M0053,2026-08-23 09:09:00,110,Mobile
W000030,U0106,M0010,2026-09-18 12:25:00,129,Tablet
W000031,U0185,M0002,2026-09-27 03:29:00,100,Mobile
W000032,U0148,M0011,2026-07-20 08:44:00,104,TV
W000033,U0169,M0003,2026-07-21 09:52:00,107,Web
W000034,U0030,M0083,2026-08-22 06:08:00,89,TV
W000035,U0110,M0013,2026-08-25 10:22:00,117,Web
W000036,U0008,M0033,2026-07-25 20:58:00,59,Web
W000037,U0087,M0003,2026-07-01 13:20:00,101,Tablet
W000038,U0018,M0013,2026-09-06 10:40:00,100,Mobile
W000039,U0024,M0051,2026-08-04 05:48:00,117,Web
W000040,U0080,M0007,2026-09-09 17:01:00,101,Mobile
W000041,U0014,M0015,2026-07-15 07:52:00,92,Mobile
W000042,U0070,M0007,2026-08-30 06:01:00,87,Tablet
W000043,U0125,M0002,2026-08-07 16:47:00,100,Mobile
W000044,U0089,M0008,2026-07-11 02:14:00,166,Web
W000045,U0174,M0006,2026-08-17 23:06:00,71,Tablet
